iter	Passed	Remaining
487	529	555
488	530	554
489	531	553
490	532	551
491	532	550
492	533	548
493	534	547
494	534	545
495	535	544
496	536	542
497	536	541
498	537	539
499	538	538
500	538	536
501	539	535
502	540	533
503	541	532
504	542	532
505	543	530
506	544	529
507	545	527
508	545	526
509	546	525
510	547	523
511	547	522
512	548	520
513	549	519
514	549	517
515	550	516
516	551	514
517	551	513
518	552	511
519	552	510
520	553	508
521	554	507
522	554	506
523	555	505
524	557	504
525	558	502
526	558	501
527	559	500
528	560	498
529	560	497
530	561	495
531	561	494
532	562	492
533	563	491
534	563	490
535	564	488
536	565	487
537	565	485
538	566	484
539	567	483
540	567	481
541	568	480
542	569	478
543	569	477
544	570	476
545	572	475
546	572	474
547	573	473
548	574	471
549	575	470
550	576	469
551	576	468
552	577	466
553	577	465
554	578	463
555	579	462
556	579	461
557	580	459
558	581	458
559	581	457
560	582	455
561	582	454
562	583	452
563	584	451
564	584	450
565	586	449
566	587	448
567	588	447
568	588	445
569	589	444
570	590	443
571	590	442
572	591	440
573	592	439
574	592	438
575	593	436
576	594	435
577	594	434
578	595	432
579	596	431
580	596	430
581	597	429
582	598	427
583	598	426
584	600	425
585	601	425
586	602	423
587	603	422
588	604	421
589	605	420
590	605	419
591	606	417
592	607	416
593	607	415
594	608	414
595	608	412
596	609	411
597	610	410
598	610	408
599	611	407
600	612	406
601	612	405
602	613	403
603	614	402
604	615	401
605	616	400
606	617	399
607	617	398
608	618	397
609	619	395
610	620	394
611	620	393
612	621	392
613	622	391
614	622	389
615	623	388
616	624	387
617	624	386
618	625	384
619	626	383
620	626	382
621	627	381
622	628	380
623	628	378
624	629	377
625	631	377
626	631	375
627	632	374
628	633	373
629	634	372
630	634	371
631	635	370
632	636	368
633	636	367
634	637	366
635	638	365
636	638	364
637	639	362
638	640	361
639	640	360
640	641	359
641	641	357
642	642	356
643	643	355
644	643	354
645	645	353
646	646	352
647	646	351
648	647	350
649	647	348
650	648	347
651	649	346
652	649	345
653	650	344
654	651	342
655	651	341
656	652	340
657	653	339
658	653	338
659	654	337
660	655	335
661	655	334
662	656	333
663	657	332
664	657	331
665	658	330
666	659	329
667	660	328
668	661	327
669	662	326
670	662	324
671	663	323
672	664	322
673	664	321
674	665	320
675	666	319
676	666	318
677	667	317
678	668	315
679	668	314
680	669	313
681	670	312
682	670	311
683	671	310
684	672	309
685	672	307
686	673	306
687	675	306
688	675	305
689	676	303
690	677	302
691	677	301
692	678	300
693	679	299
694	679	298
695	680	297
696	681	296
697	681	295
698	682	293
699	683	292
700	683	291
701	684	290
702	685	289
703	685	288
704	686	287
705	687	286
706	687	285
707	688	283
708	689	283
709	690	281
710	690	280
711	691	279
712	692	278
713	692	277
714	693	276
715	694	275
716	694	274
717	695	273
718	696	272
719	696	270
720	697	269
721	698	268
722	698	267
723	699	266
724	700	265
725	700	264
726	701	263
727	702	262
728	702	261
729	703	260
730	704	259
731	705	258
732	706	257
733	706	256
734	707	255
735	708	254
736	718	256
737	725	257
738	727	257
739	730	256
740	733	256
741	735	255
742	737	255
743	741	254
744	745	255
745	746	254
746	748	253
747	750	252
748	768	257
749	770	256
750	773	256
751	775	255
752	777	255
753	778	254
754	780	253
755	782	252
756	783	251
757	785	250
758	786	249
759	788	248
760	789	247
761	791	247
762	792	246
763	793	245
764	794	244
765	796	243
766	797	242
767	799	241
768	800	240
769	802	239
770	804	238
771	805	237
772	806	236
773	808	235
774	809	235
775	810	234
776	812	233
777	813	232
778	814	231
779	816	230
780	818	229
781	820	228
782	821	227
783	822	226
784	823	225
785	825	224
786	826	223
787	827	222
788	829	221
789	830	220
790	831	219
791	839	220
792	840	219
793	842	218
794	843	217
795	844	216
796	846	215
797	847	214
798	849	213
799	851	212
800	852	211
801	853	210
802	855	209
803	856	208
804	857	207
805	858	206
806	860	205
807	861	204
808	864	204
809	866	203
810	867	202
811	868	201
812	869	199
813	870	198
814	871	197
815	872	196
816	873	195
817	874	194
818	875	193
819	876	192
820	877	191
821	879	190
822	880	189
823	881	188
824	882	187
825	882	185
826	883	184
827	885	183
828	887	183
829	888	182
830	891	181
831	894	180
832	896	179
833	898	178
834	899	177
835	901	176
836	903	175
837	907	175
838	909	174
839	910	173
840	911	172
841	912	171
842	913	170
843	914	168
844	915	167
845	916	166
846	917	165
847	922	165
848	924	164
849	925	163
850	926	162
851	927	161
852	928	160
853	929	158
854	931	157
855	932	156
856	933	155
857	934	154
858	935	153
859	936	152
860	937	151
861	938	150
862	939	149
863	940	148
864	941	146
865	942	145
866	943	144
867	944	143
868	944	142
869	945	141
870	946	140
871	946	138
872	947	137
873	948	136
874	949	135
875	950	134
876	951	133
877	952	132
878	953	131
879	957	130
880	958	129
881	959	128
882	960	127
883	961	126
884	962	125
885	964	124
886	966	123
887	968	122
888	971	121
889	972	120
890	973	119
891	976	118
892	977	117
893	979	116
894	981	115
895	999	115
896	1000	114
897	1001	113
898	1002	112
899	1004	111
900	1005	110
901	1006	109
902	1007	108
903	1008	107
904	1010	106
905	1011	104
906	1012	103
907	1013	102
908	1013	101
909	1014	100
910	1015	99
911	1017	98
912	1018	97
913	1020	96
914	1021	94
915	1022	93
916	1023	92
917	1025	91
918	1026	90
919	1028	89
920	1031	88
921	1035	87
922	1037	86
923	1038	85
924	1040	84
925	1041	83
926	1042	82
927	1043	80
928	1045	79
929	1046	78
930	1048	77
931	1049	76
932	1050	75
933	1051	74
934	1053	73
935	1055	72
936	1056	71
937	1057	69
938	1058	68
939	1061	67
940	1062	66
941	1064	65
942	1066	64
943	1067	63
944	1068	62
945	1070	61
946	1071	59
947	1072	58
948	1073	57
949	1074	56
950	1075	55
951	1076	54
952	1078	53
953	1079	52
954	1081	50
955	1082	49
956	1084	48
957	1085	47
958	1086	46
959	1087	45
960	1088	44
961	1090	43
962	1091	41
963	1092	40
964	1094	39
965	1095	38
966	1095	37
967	1096	36
968	1098	35
969	1100	34
970	1101	32
971	1102	31
972	1103	30
973	1105	29
974	1106	28
975	1107	27
976	1109	26
977	1110	24
978	1111	23
979	1113	22
980	1115	21
981	1116	20
982	1116	19
983	1118	18
984	1119	17
985	1121	15
986	1122	14
987	1124	13
988	1125	12
989	1126	11
990	1127	10
991	1128	9
992	1129	7
993	1130	6
994	1131	5
995	1133	4
996	1134	3
997	1135	2
998	1136	1
999	1137	0
